Game Number,Starting Pile Size,Model Starts?,Result
0,56,False,-1
1,48,False,1
2,42,True,-1
3,44,True,-1
4,41,True,-1
5,41,False,-1
6,48,False,1
7,40,False,-1
8,41,False,-1
9,49,True,1
10,40,True,-1
11,41,False,1
12,42,False,-1
13,57,False,-1
14,53,False,-1
15,40,False,-1
16,40,False,-1
17,43,True,-1
18,43,True,-1
19,48,False,-1
20,44,True,1
21,52,False,-1
22,58,True,1
23,57,True,-1
24,42,True,1
25,47,False,1
26,51,False,-1
27,53,False,-1
28,40,False,-1
29,41,False,1
30,47,True,-1
31,60,False,1
32,59,False,1
33,56,True,1
34,55,False,1
35,48,True,-1
36,52,False,1
37,40,True,-1
38,45,False,-1
39,42,True,1
40,41,False,-1
41,48,False,1
42,57,False,1
43,42,False,-1
44,60,True,-1
45,54,False,1
46,43,True,-1
47,53,True,-1
48,52,False,1
49,42,True,-1
50,57,True,-1
51,55,True,1
52,52,False,-1
53,54,True,1
54,45,True,-1
55,42,False,1
56,41,False,1
57,47,True,-1
58,58,False,-1
59,56,False,1
60,48,True,-1
61,60,True,-1
62,59,True,-1
63,53,True,1
64,44,False,1
65,55,True,-1
66,52,True,-1
67,59,False,1
68,52,False,-1
69,45,True,1
70,55,True,1
71,45,True,1
72,52,False,-1
73,41,True,-1
74,47,False,1
75,51,False,-1
76,53,False,1
77,56,True,-1
78,60,False,-1
79,57,True,1
80,43,True,-1
81,55,True,-1
82,53,False,1
83,50,False,-1
84,47,False,1
85,42,True,-1
86,52,False,-1
87,44,True,-1
88,46,True,-1
89,50,False,1
90,43,True,1
91,49,False,-1
92,55,False,-1
93,40,False,1
94,43,False,-1
95,42,True,-1
96,43,False,1
97,55,False,-1
98,47,True,-1
99,44,True,-1
100,53,True,-1
101,57,True,1
102,47,True,1
103,46,False,1
104,54,False,-1
105,48,True,-1
106,42,False,-1
107,59,True,-1
108,42,True,1
109,53,False,-1
110,46,True,-1
111,46,False,-1
112,49,False,1
113,51,False,-1
114,53,False,-1
115,46,False,1
116,40,False,-1
117,40,False,-1
118,41,True,-1
119,60,False,-1
120,47,True,-1
121,51,True,-1
122,42,True,-1
123,52,True,1
124,55,False,-1
125,47,False,-1
126,53,False,1
127,59,True,-1
128,44,True,-1
129,60,True,1
130,60,True,-1
131,47,False,-1
132,42,True,-1
133,56,True,-1
134,43,False,-1
135,54,False,-1
136,48,True,-1
137,58,True,-1
138,43,True,1
139,49,False,1
140,52,False,-1
141,54,False,-1
142,54,True,1
143,46,False,1
144,43,False,-1
145,56,True,-1
146,52,True,1
147,60,True,1
148,54,True,-1
149,41,False,1
